game,set_id,card_no,name,rarity,currency,amount,psa10,updated_at,records
onepiece,OP01,016_p4,ナミ,SP,¥,1212,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,24,モンキー・D・ルフィ,SR,¥,12121,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,024_p1,モンキー・D・ルフィ,SR,¥,1111,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,024_p2,モンキー・D・ルフィ,SR,¥,2222,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,024_r1,モンキー・D・ルフィ,SR,¥,5555,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,25,ロロノア・ゾロ,SR,¥,99999,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,025_p1,ロロノア・ゾロ,SR,¥,7777777,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,025_p2,ロロノア・ゾロ,SR,¥,555,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,025_p4,ロロノア・ゾロ,SR,¥,666,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,035_p2,お菊,SP,¥,7777,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,40,錦えもん,SR,¥,3333,,2026-08-16T10:27:35+09:00,1
onepiece,OP01,040_p1,錦えもん,SR,¥,444,,2026-08-16T10:27:35+09:00,1
pokemon,M2,13,メガリザードンXex,RR,¥,50000,,2026-08-16T06:12:10+09:00,1
pokemon,S10b,54,イーブイ,C,¥,1212,,2026-08-16T06:49:11+09:00,2
pokemon,S10b,55,かがやくイーブイ,K,¥,121,,2026-08-16T06:49:11+09:00,2
pokemon,S10D,52,イーブイ,C,¥,1212,,2026-08-16T06:49:11+09:00,2
pokemon,S10P,54,イーブイ,C,¥,1212,,2026-08-16T06:49:11+09:00,2
pokemon,S4,83,イーブイ,C,¥,1212,,2026-08-16T06:49:11+09:00,2
pokemon,S6a,47,ブラッキーV,RR,¥,2222,,2026-08-16T06:49:11+09:00,2
pokemon,S6a,58,イーブイ,C,¥,2121,,2026-08-16T06:49:11+09:00,2
pokemon,S6a,85,ブラッキーV,R,¥,2121,,2026-08-16T06:49:11+09:00,2
pokemon,S8b,101,ブラッキーVMAX,R,¥,22222,,2026-08-16T06:49:11+09:00,2
pokemon,S8b,210,イーブイ,R,¥,1212,,2026-08-16T06:49:11+09:00,2
pokemon,S8b,244,ブラッキーV,R,¥,1212,,2026-08-16T06:49:11+09:00,2
pokemon,SM5M,46,イーブイ,C,¥,2121,,2026-08-16T06:49:11+09:00,2
pokemon,SM8b,105,イーブイ,R,¥,2121,,2026-08-16T06:49:11+09:00,2
pokemon,SM8b,229,ブラッキーGX,R,¥,21212,,2026-08-16T06:49:11+09:00,2
pokemon,SM9,106,イーブイ&カビゴンGX,R,¥,2212117,,2026-08-16T06:49:11+09:00,2
pokemon,SV10,124,ロケット団のファイヤーex,R,¥,15000,,2026-08-18T20:16:06+09:00,1
pokemon,SV10,125,ロケット団のミュウツーex,R,¥,55000,,2026-08-18T20:16:06+09:00,1
pokemon,SV10,126,ロケット団のニドキングex,R,¥,8000,,2026-08-18T20:16:06+09:00,1
pokemon,SV10,127,ロケット団のクロバットex,R,¥,5000,,2026-08-18T20:16:06+09:00,1
pokemon,SV11B,172,ゲノセクトex,R,¥,2000,,2026-08-18T20:16:06+09:00,1
pokemon,SV11W,167,エルフーンex,R,¥,1500,,2026-08-18T20:16:06+09:00,1
pokemon,SV11W,169,ケルディオex,R,¥,2500,,2026-08-18T20:16:06+09:00,1
pokemon,SV11W,170,ブルンゲルex,R,¥,2000,,2026-08-18T20:16:06+09:00,1
pokemon,SV11W,171,サザンドラex,R,¥,3000,,2026-08-18T20:16:06+09:00,1
pokemon,SV11W,172,バッフロンex,R,¥,1000,,2026-08-18T20:16:06+09:00,1
pokemon,SV5a,50,イーブイ,C,¥,2121,,2026-08-16T06:49:11+09:00,2
pokemon,SV8,130,アイアントex,R,¥,1500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,200,リーフィアex,R,¥,7000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,201,オーガポン みどりのめんex,R,¥,400,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,202,ブースターex,R,¥,6000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,203,ソウブレイズex,R,¥,1000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,204,オーガポン かまどのめんex,R,¥,400,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,205,シャワーズex,R,¥,6000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,206,グレイシアex,R,¥,6500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,207,イルカマンex,R,¥,1000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,208,オーガポン いどのめんex,R,¥,400,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,209,サンダースex,R,¥,6000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,210,テツノカイナex,R,¥,400,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,211,エーフィex,R,¥,7000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,212,ニンフィアex,R,¥,14000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,213,テツノブジンex,R,¥,500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,214,テツノカシラex,R,¥,500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,215,スナノケガワex,R,¥,500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,216,オーガポン いしずえのめんex,R,¥,400,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,217,ブラッキーex,R,¥,58000,,2026-08-18T20:16:06+09:00,3
pokemon,SV8a,218,トドロクツキex,R,¥,2500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,219,モモワロウex,R,¥,400,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,220,サーフゴーex,R,¥,500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,221,ドラパルトex,R,¥,1000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,222,タケルライコex,R,¥,1000,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,223,イーブイex,R,¥,4500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,224,イーブイex,R,¥,4500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,225,ガチグマ アカツキex,R,¥,500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,226,テラパゴスex,R,¥,500,,2026-08-18T20:16:06+09:00,1
pokemon,SV8a,93,ブラッキーex,RR,¥,222,,2026-08-16T06:49:11+09:00,2
pokemon,SV9,124,ボルケニオンex,R,¥,1500,,2026-08-18T20:16:06+09:00,1
pokemon,SV9,125,ナンジャモのハラバリーex,R,¥,8000,,2026-08-18T20:16:06+09:00,1
pokemon,SV9,126,リーリエのピッピex,R,¥,15000,,2026-08-18T20:16:06+09:00,1
pokemon,SV9,127,Nのゾロアークex,R,¥,5000,,2026-08-18T20:16:06+09:00,1
pokemon,SV9,128,ホップのザシアンex,R,¥,2500,,2026-08-18T20:16:06+09:00,1
pokemon,SV9,129,ボーマンダex,R,¥,3000,,2026-08-18T20:16:06+09:00,1
pokemon,SV9a,85,メガヤンマex,R,¥,1300,,2026-08-18T20:16:06+09:00,1
pokemon,SV9a,86,ヒビキのホウオウex,R,¥,27000,,2026-08-18T20:16:06+09:00,1
pokemon,SV9a,87,シロナのガブリアスex,R,¥,30000,,2026-08-18T20:16:06+09:00,1
pokemon,SV9a,88,ペパーのマフィティフex,R,¥,1500,,2026-08-18T20:16:06+09:00,1
pokemon,XY10,42,ブラッキーEX,RR,¥,2219,,2026-08-16T06:49:11+09:00,2
pokemon,XY3,75,イーブイ,C,¥,21212,,2026-08-16T06:49:11+09:00,2
pokemon,XY7,63,イーブイ,C,¥,2222,,2026-08-16T06:49:11+09:00,2
pokemon,XYP,140,ブラッキー,,¥,2222,,2026-08-16T06:49:11+09:00,4
