recorded_at,batch_id,title,set_id,card_no,name,rarity,currency,amount,psa10,game
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV8,132,ピカチュウex,R,¥,65000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV8,131,ミロカロスex,R,¥,10000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV8,133,サザンドラex,R,¥,3000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV7a,87,ラティアスex,R,¥,20000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV7a,88,ブリジュラスex,R,¥,1500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV7a,89,アローラ ナッシーex,R,¥,2000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV7,127,カミツオロチex,R,¥,2000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV7,128,デンチュラex,R,¥,1500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV7,129,バウッツェルex,R,¥,3000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV7,130,テラパゴスex,R,¥,2500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6a,87,イイネイヌex,R,¥,1000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6a,88,マシマシラex,R,¥,500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6a,89,キチキギスex,R,¥,1500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6a,90,モモワロウex,R,¥,1500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6,125,オーガポン みどりのめんex,R,¥,1500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6,126,オーガポン かまどのめんex,R,¥,1000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6,127,オーガポン いどのめんex,R,¥,1500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV6,128,オーガポン いしずえのめんex,R,¥,1000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5a,89,ヤバソチャex,R,¥,1000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5a,90,ゲッコウガex,R,¥,40000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5a,91,ガチグマ アカツキex,R,¥,2500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5M,93,テツノイサハex,R,¥,2000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5M,94,テツノカシラex,R,¥,2500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5M,95,テツノイワオex,R,¥,1000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5K,93,ウガツホムラex,R,¥,2500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5K,94,ウネルミナモex,R,¥,3000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV5K,95,タケルライコex,R,¥,3000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV4a,347,ミュウex,R,¥,75000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV4a,348,サーナイトex,R,¥,10000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV4a,349,リザードンex,R,¥,45000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV4K,88,グソクムシャex,R,¥,2000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV4M,88,テツノカイナex,R,¥,1000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV4M,89,テツノブジンex,R,¥,2500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV4M,90,チルタリスex,R,¥,7000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV3a,85,ガブリアスex,R,¥,4000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV3a,86,カプ・コケコex,R,¥,2500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV3a,87,サーフゴーex,R,¥,3000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV3,133,コオリッポex,R,¥,700,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV3,134,リザードンex,R,¥,45000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV3,135,ブロロロームex,R,¥,500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV3,136,ピジョットex,R,¥,2500,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV2a,200,フシギバナex,R,¥,15000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV2a,201,リザードンex,R,¥,70000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV2a,202,カメックスex,R,¥,18000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV2a,203,フーディンex,R,¥,6000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV2a,204,サンダーex,R,¥,13000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV2a,205,ミュウex,R,¥,45000,,pokemon
2026-08-18T20:18:03+09:00,20260818-201806-0q62,ポケモンカード買取表,SV2D,92,イーユイex,R,¥,3000,,pokemon
